*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Teensy-RS232
*Date=01:18:20
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;38.3286;-20.7082;0;Bottom;Copper Fill23
2;;;20.9804;-5.3539;0;Bottom;Copper Fill15
3;;;10.8204;-5.3539;0;Bottom;Copper Fill11
4;;;51.4858;-28.7981;0;Bottom;Copper Fill3
5;;;15.9142;-16.09;-90;Bottom;Teensy 2.0
6;;;5.7404;-26.8423;0;Bottom;Copper Fill49
7;100nF;100 mil [THT, multilayer];50.2042;-28.79;90;Bottom;C2
8;100nF;100 mil [THT, multilayer];52.7442;-28.79;90;Bottom;C5
9;;;1.0668;-2.16628;0;Bottom;Copper Fill80
10;;;18.4404;-26.8423;0;Bottom;Copper Fill54
11;;;48.0144;-18.5379;0;Bottom;IMG1
12;;THT;15.9142;-2.12;-90;Bottom;GND
13;;;36.6522;-14.2566;0;Bottom;Copper Fill72
14;;;13.3604;-26.8423;0;Bottom;Copper Fill52
15;;;18.4404;-5.3539;0;Bottom;Copper Fill14
16;;;31.8516;-15.9965;0;Bottom;Copper Fill5
17;;;15.9004;-26.8423;0;Bottom;Copper Fill53
18;;;36.8173;-27.4519;0;Bottom;Copper Fill31
19;;;37.4777;-13.4057;0;Bottom;Copper Fill71
20;;;15.1892;-16.0981;0;Bottom;Copper Fill62
21;;;50.1269;-1.41698;0;Bottom;Copper Fill40
22;;;37.4777;-19.8827;0;Bottom;Copper Fill68
23;;;8.2804;-5.3539;0;Bottom;Copper Fill10
24;;;1.1176;-8.5162;0;Bottom;Copper Fill76
25;;;1.9177;-7.6653;0;Bottom;Copper Fill75
26;;;1.0668;-2.16628;0;Bottom;Copper Fill39
27;;;45.1104;-3.85538;0;Bottom;Copper Fill66
28;;[THT];35.3093;-17.4351;90;Bottom;S1
29;;;20.9804;-26.8423;0;Bottom;Copper Fill55
30;;;1.9177;-1.36618;0;Bottom;Copper Fill38
31;;;48.9458;-28.7981;0;Bottom;Copper Fill2
32;100nF;100 mil [THT, multilayer];40.0442;-28.79;90;Bottom;C3
33;;;1.9177;-9.3925;0;Bottom;Copper Fill33
34;;;57.8612;-21.5718;0;Bottom;Copper Fill36
35;;;13.3604;-5.3539;0;Bottom;Copper Fill12
36;;;8.2804;-26.8423;0;Bottom;Copper Fill50
37;;db9;60.0843;-15.98;90;Bottom;RS232 Serial
38;;;36.6522;-20.7082;0;Bottom;Copper Fill22
39;;;28.6258;-8.8083;0;Bottom;Copper Fill64
40;;;3.2004;-26.8423;0;Bottom;Copper Fill48
41;;;50.1269;-1.41698;0;Bottom;Copper Fill82
42;;;5.7404;-5.3539;0;Bottom;Copper Fill9
43;;;23.5966;-6.5731;0;Bottom;Copper Fill63
44;;;41.3258;-28.7981;0;Bottom;Copper Fill43
