*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=retro-connector-IIc.pcb
*Date=13:36:26
*CreatedBy=Fritzing 0.8.3b.07.27.048f
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;29.2608;-13.237;0;Bottom;Copper Fill72
2;;;62.103;-7.776;0;Bottom;Copper Fill77
3;;;40.4876;-39.4244;0;Bottom;Copper Fill17
4;;;62.1792;-38.1544;0;Bottom;Copper Fill54
5;;;23.6474;-13.0338;0;Bottom;Copper Fill30
6;;;29.4894;-27.2578;0;Bottom;Copper Fill63
7;;;5.03295;-48.3194;0;Bottom;Hole2
8;;;62.5856;-22.508;0;Bottom;Copper Fill65
9;;;5.20345;-8.98299;0;Bottom;TXT3
10;;THT;62.0559;-26.7295;180;Bottom;J1
11;;;12.3399;-15.2443;0;Bottom;TXT1
12;;;30.1376;-19.8519;0;Bottom;TXT7
13;;;27.6712;-9.79985;90;Bottom;TXT6
14;;;40.4876;-29.5946;0;Bottom;Copper Fill20
15;;;62.611;-17.301;0;Bottom;Copper Fill68
16;;;35.6108;-44.86;0;Bottom;Copper Fill7
17;;;62.1792;-45.7744;0;Bottom;Copper Fill8
18;;;51.9176;-17.5042;0;Bottom;Copper Fill33
19;;;15.2654;-12.3226;0;Bottom;Copper Fill28
20;;;48.1076;-33.0744;0;Bottom;Copper Fill55
21;;;37.9476;-41.9644;0;Bottom;Copper Fill12
22;;;65.151;-10.189;0;Bottom;Copper Fill44
23;;;41.7576;-27.9944;0;Bottom;Copper Fill22
24;;;65.1256;-42.828;0;Bottom;Copper Fill10
25;;;7.5438;-46.1046;0;Bottom;Copper Fill1
26;;;62.1792;-20.3744;0;Bottom;Copper Fill37
27;;;62.103;-7.776;0;Bottom;Copper Fill45
28;;;65.5574;-13.1608;0;Bottom;Copper Fill74
29;;;62.1792;-33.0744;0;Bottom;Copper Fill57
30;;;34.544;-32.668;0;Bottom;Copper Fill47
31;;;63.4238;-5.744;0;Bottom;Copper Fill46
